"feature","median"
"orf4_p071_btprop",0
"orf4_p071_flex",0
"orf4_p071_hydro",0
"orf4_p071_pI",0
"orf4_p071_surf",0
"orf4_p071_s_polar_v_nonpolar",0
"orf4_p077_same",1
"orf4_p077_btprop",0
"orf4_p077_flex",0
"orf4_p077_hydro",0
"orf4_p077_pI",0
"orf4_p077_surf",0
"orf4_p077_s_nonpolar_v_nonpolar",0
"orf4_p079_same",1
"orf4_p079_btprop",0
"orf4_p079_flex",0
"orf4_p079_hydro",0
"orf4_p079_pI",0
"orf4_p079_surf",0
"orf4_p079_s_nonpolar_v_nonpolar",0
"orf4_p081_same",1
"orf4_p081_btprop",0
"orf4_p081_flex",0
"orf4_p081_hydro",0
"orf4_p081_pI",0
"orf4_p081_surf",0
"orf4_p081_s_nonpolar_v_nonpolar",0
"orf4_p098_same",1
"orf4_p098_btprop",0
"orf4_p098_flex",0
"orf4_p098_hydro",0
"orf4_p098_pI",0
"orf4_p098_surf",0
"orf4_p098_s_nonpolar_v_polar",0
"orf4_p098_s_polar_v_nonpolar",0
"orf4_p114_same",1
"orf4_p114_btprop",0
"orf4_p114_flex",0
"orf4_p114_hydro",0
"orf4_p114_pI",0
"orf4_p114_surf",0
"orf4_p114_s_nonpolar_v_nonpolar",0
"orf4_p115_same",1
"orf4_p115_btprop",0
"orf4_p115_flex",0
"orf4_p115_hydro",0
"orf4_p115_pI",0
"orf4_p115_surf",0
"orf4_p115_s_basic_v_basic",0
"orf4_p133_same",1
"orf4_p133_btprop",0
"orf4_p133_charge",0
"orf4_p133_flex",0
"orf4_p133_hydro",0
"orf4_p133_pI",0
"orf4_p133_surf",0
"orf4_p133_s_acidic_v_polar",0
"orf4_p133_s_polar_v_acidic",0
"orf4_p143_same",1
"orf4_p143_btprop",0
"orf4_p143_charge",0
"orf4_p143_flex",0
"orf4_p143_hydro",0
"orf4_p143_pI",0
"orf4_p143_surf",0
"orf4_p143_s_basic_v_polar",0
"orf4_p143_s_polar_v_basic",0
"orf4_p148_same",1
"orf4_p148_btprop",0
"orf4_p148_flex",0
"orf4_p148_hydro",0
"orf4_p148_pI",0
"orf4_p148_surf",0
"orf4_p148_s_nonpolar_v_nonpolar",0
"orf5_p027_same",1
"orf5_p027_btprop",0
"orf5_p027_flex",0
"orf5_p027_hydro",0
"orf5_p027_pI",0
"orf5_p027_surf",0
"orf5_p027_s_nonpolar_v_nonpolar",0
"orf5_p028_same",1
"orf5_p028_btprop",0
"orf5_p028_flex",0
"orf5_p028_hydro",0
"orf5_p028_pI",0
"orf5_p028_surf",0
"orf5_p028_s_nonpolar_v_nonpolar",0
"orf5_p029_same",1
"orf5_p029_btprop",0
"orf5_p029_flex",0
"orf5_p029_hydro",0
"orf5_p029_pI",0
"orf5_p029_surf",0
"orf5_p029_s_nonpolar_v_nonpolar",0
"orf5_p029_s_nonpolar_v_polar",0
"orf5_p029_s_polar_v_nonpolar",0
"orf5_p032_same",0
"orf5_p032_btprop",0
"orf5_p032_charge",0
"orf5_p032_flex",0
"orf5_p032_hydro",0
"orf5_p032_pI",0
"orf5_p032_surf",0
"orf5_p032_s_acidic_v_polar",0
"orf5_p032_s_nonpolar_v_polar",0
"orf5_p032_s_polar_v_acidic",0
"orf5_p032_s_polar_v_polar",0
"orf5_p033_same",1
"orf5_p033_btprop",0
"orf5_p033_charge",0
"orf5_p033_flex",0
"orf5_p033_hydro",0
"orf5_p033_pI",0
"orf5_p033_surf",0
"orf5_p033_s_polar_v_acidic",0
"orf5_p033_s_polar_v_polar",0
"orf5_p034_same",0
"orf5_p034_btprop",0
"orf5_p034_flex",0
"orf5_p034_hydro",0
"orf5_p034_pI",0
"orf5_p034_surf",0
"orf5_p034_s_nonpolar_v_polar",0
"orf5_p034_s_polar_v_nonpolar",0
"orf5_p034_s_polar_v_polar",0
"orf5_p047_same",1
"orf5_p047_btprop",0
"orf5_p047_flex",0
"orf5_p047_hydro",0
"orf5_p047_pI",0
"orf5_p047_surf",0
"orf5_p047_s_nonpolar_v_nonpolar",0
"orf5_p054_same",1
"orf5_p054_s_acidic_v_gap",0
"orf5_p055_same",1
"orf5_p055_s_nonpolar_v_gap",0
"orf5_p056_same",1
"orf5_p056_s_nonpolar_v_gap",0
"orf5_p057_same",0
"orf5_p057_btprop",0
"orf5_p057_charge",0
"orf5_p057_flex",0
"orf5_p057_hydro",0
"orf5_p057_pI",0
"orf5_p057_surf",0
"orf5_p057_s_basic_v_polar",0
"orf5_p057_s_nonpolar_v_polar",0
"orf5_p057_s_polar_v_basic",0
"orf5_p057_s_polar_v_gap",0
"orf5_p057_s_polar_v_nonpolar",0
"orf5_p058_same",0
"orf5_p058_btprop",0
"orf5_p058_charge",0
"orf5_p058_flex",-0.004
"orf5_p058_hydro",0
"orf5_p058_pI",0.45
"orf5_p058_surf",0
"orf5_p058_s_acidic_v_acidic",0
"orf5_p058_s_acidic_v_polar",0
"orf5_p058_s_basic_v_acidic",0
"orf5_p058_s_polar_v_acidic",0
"orf5_p058_s_polar_v_basic",0
"orf5_p058_s_polar_v_polar",0
"orf5_p059_same",0
"orf5_p059_btprop",0.03
"orf5_p059_charge",0
"orf5_p059_flex",0
"orf5_p059_hydro",0
"orf5_p059_pI",0
"orf5_p059_surf",0
"orf5_p059_s_basic_v_basic",0
"orf5_p059_s_basic_v_polar",0
"orf5_p059_s_polar_v_basic",0
"orf5_p061_same",1
"orf5_p061_btprop",0
"orf5_p061_charge",0
"orf5_p061_flex",0
"orf5_p061_hydro",0
"orf5_p061_pI",0
"orf5_p061_surf",0
"orf5_p061_s_acidic_v_polar",0
"orf5_p063_same",1
"orf5_p063_btprop",0
"orf5_p063_flex",0
"orf5_p063_hydro",0
"orf5_p063_pI",0
"orf5_p063_surf",0
"orf5_p063_s_nonpolar_v_polar",0
"orf5_p064_same",1
"orf5_p064_btprop",0
"orf5_p064_flex",0
"orf5_p064_hydro",0
"orf5_p064_pI",0
"orf5_p064_surf",0
"orf5_p064_s_nonpolar_v_nonpolar",0
"orf5_p101_same",1
"orf5_p101_btprop",0
"orf5_p101_flex",0
"orf5_p101_hydro",0
"orf5_p101_pI",0
"orf5_p101_surf",0
"orf5_p101_s_nonpolar_v_polar",0
"orf5_p101_s_polar_v_nonpolar",0
"orf5_p102_same",1
"orf5_p102_btprop",0
"orf5_p102_flex",0
"orf5_p102_hydro",0
"orf5_p102_pI",0
"orf5_p102_surf",0
"orf5_p102_s_nonpolar_v_polar",0
"orf5_p102_s_polar_v_nonpolar",0
"orf5_p104_same",1
"orf5_p104_btprop",0
"orf5_p104_charge",0
"orf5_p104_flex",0
"orf5_p104_hydro",0
"orf5_p104_pI",0
"orf5_p104_surf",0
"orf5_p104_s_basic_v_nonpolar",0
"orf5_p104_s_nonpolar_v_basic",0
"orf6_p003_same",1
"orf6_p003_btprop",0
"orf6_p003_flex",0
"orf6_p003_hydro",0
"orf6_p003_pI",0
"orf6_p003_surf",0
"orf6_p003_s_polar_v_polar",0
"orf6_p005_same",1
"orf6_p005_btprop",0
"orf6_p005_flex",0
"orf6_p005_hydro",0
"orf6_p005_pI",0
"orf6_p005_surf",0
"orf6_p005_s_nonpolar_v_nonpolar",0
"orf6_p010_same",0
"orf6_p010_btprop",0
"orf6_p010_charge",0
"orf6_p010_flex",0
"orf6_p010_hydro",0
"orf6_p010_pI",0
"orf6_p010_surf",0
"orf6_p010_s_basic_v_polar",0
"orf6_p010_s_polar_v_basic",0
"orf6_p010_s_polar_v_polar",0
"orf6_p012_same",1
"orf6_p012_btprop",0
"orf6_p012_flex",0
"orf6_p012_hydro",0
"orf6_p012_pI",0
"orf6_p012_surf",0
"orf6_p012_s_polar_v_nonpolar",0
"orf6_p015_same",1
"orf6_p015_btprop",0
"orf6_p015_flex",0
"orf6_p015_hydro",0
"orf6_p015_pI",0
"orf6_p015_surf",0
"orf6_p015_s_nonpolar_v_nonpolar",0
